"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FRLMHeaderDocument.subject","FRLMHeaderDocument.subject","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMPatient {[]} {[]}
","Patient / Usager.","Patient / Usager.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.subject",1,1,"",""
"FRLMHeaderDocument.author[x]","FRLMHeaderDocument.author[x]","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMHealthProfessional {[]} {[]}
https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMOrganisation {[]} {[]}https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMDevice {[]} {[]}","Auteur du document.","Auteur du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.author[x]",1,*,"",""
"FRLMHeaderDocument.dataEnterer","FRLMHeaderDocument.dataEnterer","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMDataEnterer {[]} {[]}
","Opérateur de saisie.","Opérateur de saisie.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.dataEnterer",0,1,"",""
"FRLMHeaderDocument.informant","FRLMHeaderDocument.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMInformant {[]} {[]}
","Informateur ayant fourni des informations utiles à la production du document.","Informateur ayant fourni des informations utiles à la production du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.informant",0,*,"",""
"FRLMHeaderDocument.custodian","FRLMHeaderDocument.custodian","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMOrganisation {[]} {[]}
","Structure chargée de la conservation du document.","Structure chargée de la conservation du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.custodian",1,1,"",""
"FRLMHeaderDocument.intendedRecipient","FRLMHeaderDocument.intendedRecipient","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMIntendedRecipient {[]} {[]}
","Destinataire prévu du document.","Destinataire prévu du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.intendedRecipient",0,*,"",""
"FRLMHeaderDocument.legalAuthentication","FRLMHeaderDocument.legalAuthentication","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMLegalAuthentication {[]} {[]}
","Responsable du document.","Responsable du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.legalAuthentication",1,1,"",""
"FRLMHeaderDocument.attester","FRLMHeaderDocument.attester","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMAttester {[]} {[]}
","Professionnel attestant la validité du contenu du document.","Professionnel attestant la validité du contenu du document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.attester",0,*,"",""
"FRLMHeaderDocument.participant","FRLMHeaderDocument.participant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMParticipant {[]} {[]}
","Participant, différent de l'auteur, du responsable, de l'opérateur de saisie, de l'informateur ou du destinataire.","Participant, différent de l'auteur, du responsable, de l'opérateur de saisie, de l'informateur ou du destinataire.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.participant",0,*,"",""
"FRLMHeaderDocument.order","FRLMHeaderDocument.order","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMOrder {[]} {[]}
","Association du document à une prescription.","Association du document à une prescription.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.order",0,*,"",""
"FRLMHeaderDocument.consent","FRLMHeaderDocument.consent","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMConsent {[]} {[]}
","Consentement associé au document.","Consentement associé au document.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.consent",0,*,"",""
"FRLMHeaderDocument.encounter","FRLMHeaderDocument.encounter","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document-core/StructureDefinition/FRLMEncounter {[]} {[]}
","Association du document à une prise en charge.","Association du document à une prise en charge.","","","","","","","","","",,,,,"",,,,"FRLMHeaderDocument.encounter",1,1,"",""
